code,signal_date,entry_date,ret10,bull_pct,ma5_decline5_pct,ma5_vs_ma25_pct,close_vs_ma5_pct,volume_ratio,ma25_slope5_pct,dd20_pct,dd60_pct,ret5_pct,ret20_pct,atr14_pct,avg_turnover20
1301,2019-04-10,2019-04-11,-2.1623537752569977,2.9443838604144013,-2.699670429843626,-4.699631643090907,1.7314462245850981,2.396761133603239,-1.4919131830628762,-7.147540983606559,-7.147540983606559,1.5417712441735398,-6.069651741293535,2.232142857142857,135168365.0
1301,2021-06-01,2021-06-02,-0.4052684903748771,2.8354080221300038,-2.946679139382591,-1.1261108472966463,2.024013722126927,1.2672955974842768,-0.4847159213653085,-1.3598673300165842,-9.051987767584102,1.7099863201094356,3.6236933797909376,1.722067441637045,80620470.0
1301,2026-08-07,2026-08-10,4.928806133625407,3.0201342281879207,-2.6921406860616615,-0.5926843292494155,2.4471635150166815,2.0386473429951693,0.5246543061669273,-1.3918629550321193,-1.3918629550321193,1.4317180616740144,1.9933554817275656,1.8147975802698928,218524975.0
1332,2017-08-30,2017-08-31,-0.4823151125401881,1.6260162601626105,-2.7449728694542097,-3.005464480874309,2.358336062888955,1.4925904317386232,-1.2548625925461132,-6.156156156156156,-9.551374819102755,0.9693053311793154,-4.87062404870624,1.7714285714285714,1698909940.0
1332,2019-04-15,2019-04-16,-2.0486555697823317,2.075226977950706,-5.193206989908939,-3.72624332817878,1.9430051813471572,1.4285363698831846,-0.14445108587367583,-7.302709069493519,-7.302709069493519,1.0269576379974277,-3.078817733990147,2.6048284625158833,1974567150.0
1332,2020-09-28,2020-09-29,-5.0328227571115995,2.2172949002217335,-3.4115138592750505,-2.5259902053440975,1.5866020273248127,1.4197352200246556,-1.3225943196269574,-3.75782881002088,-5.91836734693878,0.875273522975939,-2.123142250530785,2.076231794236133,835937250.0
1332,2022-03-03,2022-03-04,6.7542213883677205,1.7045454545454586,-3.9913700107874983,-1.4447884416924683,0.4113687359760698,1.260578837221173,0.02949417490045736,-5.954465849387036,-8.82852292020373,0.7504690431519689,0.0,2.3942537909018355,1383017640.0
1332,2024-07-12,2024-07-16,1.3729977116704761,2.5065027193190037,-2.5365085977458346,-1.0052927354519792,2.281575159851812,1.8051310043668123,-0.7409639950849645,-0.4478126076472577,-10.164749766863535,3.214285714285725,1.4747191011236005,1.4236282748393472,1049482418.0
1332,2026-07-17,2026-07-21,-3.0492572322126654,1.8407362945177974,-3.5304093116472646,-1.5240788750098266,1.5157558835261264,1.941207075962539,-0.38658987040629533,-2.639632746748277,-6.5712187958884005,0.7920792079207928,1.8407362945177974,2.6634858265506596,1745996722.5
1333,2017-04-13,2017-04-14,-4.940267672684806,1.6839974233919142,-3.23291958601557,-4.241952013926897,1.2535278378477344,1.503725782414307,-1.1110069867449557,-7.399648034861306,-7.399648034861306,1.3761467889908285,-4.329004329004327,2.078862314156431,811665957.0
1333,2017-08-30,2017-08-31,3.1714285714285584,1.798104172774373,-2.0044670981043233,-0.21890246032393312,1.2991812046599494,1.6286672254819783,0.10218115981446285,-1.7264150943396173,-1.7264150943396173,0.8129294493370853,2.1274509803921537,1.359042224934515,549343788.0
1333,2018-03-06,2018-03-07,-0.6109236801313034,1.6996377821119957,-2.482393394994742,-1.1128581282030536,2.6568916055725422,1.374591312470808,-0.3757162437242112,-2.2321428571428603,-4.6416441696420785,2.8169014084507005,4.784688995215314,1.9589041095890436,890726418.0
1333,2020-02-03,2020-02-04,2.6374661485929707,2.5203252032520274,-3.778897125134728,-3.6382618808479372,0.8823058812773121,1.4448886350656767,-1.267408380379087,-4.127294449875096,-10.413072160763214,0.04533605349654746,-5.259203606311047,1.591707261810355,618849724.5
