code,signal_date,entry_date,exit_date,vol,gap,candle,ret10,earnings_cross,earnings_date
1518,2019-02-08,2019-02-12,2019-02-26,3.2048481431893454,0.8394963022186896,7.297687861271673,-5.273698264352477,False,
2593,2022-02-08,2022-02-09,2022-02-25,1.4109650739057447,0.5004170141784892,2.38473767885532,1.3782542113323082,False,
3101,2026-05-08,2026-05-11,2026-05-25,1.0697228403049968,0.7369645924530488,2.297297297297307,7.8083989501312345,True,2026-05-12
3107,2020-10-23,2020-10-26,2020-11-10,1.402975691533948,0.2908738334747252,2.591463414634143,-0.44709388971684305,True,2020-11-05
3393,2023-02-13,2023-02-14,2023-03-01,5.579982324348211,0.22921023001447605,3.1936127744510934,33.52769679300292,False,
3580,2019-02-12,2019-02-13,2019-02-27,1.118134569462003,0.11429758935992407,3.3333333333333437,4.645161290322575,False,
3660,2024-12-09,2024-12-10,2024-12-24,0.9752164403995203,0.7414866349322535,2.7397260273972712,3.7694013303769314,False,
3663,2021-03-31,2021-04-01,2021-04-15,5.373039198328671,1.379975140153733,9.568360620880267,17.653846153846153,False,
3922,2020-12-24,2020-12-25,2021-01-13,0.9370442030063998,0.3207302781718324,5.359877488514542,26.512968299711815,True,2021-01-12
4180,2022-06-28,2022-06-29,2022-07-13,1.167288352392405,0.8904980917898042,9.168704156479212,4.1816009557944955,False,
4246,2020-08-11,2020-08-12,2020-08-26,1.9520492987129698,2.6432085383140125,4.313725490196085,4.933586337760909,False,
4345,2020-04-28,2020-04-30,2020-05-19,2.113022113022113,1.29130269654385,8.148148148148149,15.081967213114744,True,2020-04-30
4385,2021-01-04,2021-01-05,2021-01-20,1.5907649045798256,1.3801366823466665,6.7611777535441675,10.103092783505163,False,
4483,2022-06-24,2022-06-27,2022-07-11,2.1350775511420355,2.014195281028197,10.506566604127588,16.387959866220726,False,
4911,2022-06-29,2022-06-30,2022-07-14,1.7263081651430026,0.27665095746585155,2.33470302577512,2.04231830726771,False,
5541,2019-06-26,2019-06-27,2019-07-11,1.0023463657694234,0.1306972976953258,2.1052631578947434,1.3458950201884257,False,
5706,2019-07-19,2019-07-22,2019-08-05,0.9977657392954428,0.38893895555660585,2.8765481422293293,-9.668721109399081,False,
5714,2026-05-07,2026-05-08,2026-05-22,1.4403774782356755,0.2181830317846467,2.3700623700623646,4.365278474661305,True,2026-05-14
5901,2018-03-27,2018-03-28,2018-04-11,1.166866257293551,0.31509892039878196,2.9163966299416755,5.462724935732655,False,
5957,2024-09-25,2024-09-26,2024-10-10,1.9733214099411283,1.1959849078094997,2.086956521739136,-3.716216216216217,False,
5975,2026-05-14,2026-05-15,2026-05-29,1.9234097793163132,0.5451738973365261,3.735282176207866,4.261036468330137,False,
6135,2024-09-25,2024-09-26,2024-10-10,1.0960658737419946,0.29018331092078853,2.473498233215543,5.423728813559325,False,
6200,2021-09-27,2021-09-28,2021-10-12,1.1352859891077574,0.25055466299439555,2.6465028355387554,2.304147465437789,False,
6240,2022-04-19,2022-04-20,2022-05-10,1.1455465985057018,0.6485985638174707,2.2922636103151817,-6.111111111111112,False,
6272,2020-04-30,2020-05-01,2020-05-20,1.7410091998884862,0.4380156870734453,2.5104602510460206,5.655737704918029,True,2020-05-13
6310,2026-05-01,2026-05-07,2026-05-21,1.0124756004413138,1.2748733609636798,2.3117960877296895,9.52112676056338,True,2026-05-15
6351,2024-09-19,2024-09-20,2024-10-07,2.422037422037422,1.0237068965517349,2.187902187902191,9.553349875930529,False,
6440,2019-02-14,2019-02-15,2019-03-01,2.0845714285714285,1.5478822929069658,3.085443037974689,-2.1909233176838794,False,
6590,2023-11-09,2023-11-10,2023-11-27,1.4226069402174744,0.5594647594878266,3.8848920863309377,-4.679144385026735,False,
6619,2022-04-15,2022-04-18,2022-05-06,2.9893805343460538,2.213249588754307,8.127208480565361,1.5200868621064068,False,
6652,2019-06-24,2019-06-25,2019-07-09,0.9886895475819033,0.32061754615257954,3.703703703703698,5.926670015067814,False,
6754,2017-09-19,2017-09-20,2017-10-04,2.031147843288461,0.8636064958227774,2.655889145496526,4.772727272727262,False,
6925,2020-05-20,2020-05-21,2020-06-04,3.6884048706594297,1.0720317203906315,8.283002588438304,13.912375096079943,False,
7220,2019-07-01,2019-07-02,2019-07-17,0.9452462772050401,0.6986057116132205,2.1201413427561766,-4.005524861878451,False,
7246,2020-05-27,2020-05-28,2020-06-11,1.0651896037494675,1.3262170467410739,3.4482758620689724,9.818181818181815,False,
7259,2026-04-30,2026-05-01,2026-05-20,2.995237977570133,0.9729462718427673,3.687499999999999,-4.0597859018380085,False,
7721,2017-12-27,2017-12-28,2018-01-17,1.5059048834982445,0.34637032760860276,2.549162418062645,0.6437768240343367,False,
7868,2024-04-15,2024-04-16,2024-05-01,0.8801635360820766,1.373426911907072,2.6745913818722045,4.748201438848931,False,
7995,2026-08-31,2026-09-01,2026-09-15,0.8693105266240994,0.399809046425581,3.0441400304414,-6.736526946107779,False,
8043,2019-02-12,2019-02-13,2019-02-27,1.1871708951651507,1.4217359882373604,3.0497102775236318,-2.6813186813186785,False,
8050,2020-05-26,2020-05-27,2020-06-10,1.6968557758031442,0.3757632691404389,4.844290657439454,8.04851157662625,False,
8167,2018-08-30,2018-08-31,2018-09-14,3.899834284662125,0.24055618705225434,8.032675289312463,-6.967741935483874,False,
8570,2020-10-02,2020-10-05,2020-10-19,2.1671627670351348,0.5327628156724495,2.169421487603307,7.317073170731714,True,2020-10-07
8804,2023-02-24,2023-02-27,2023-03-13,1.8509357688276689,0.17650025214321907,2.857142857142847,1.7177914110429349,False,
9629,2026-07-02,2026-07-03,2026-07-17,1.9444906099385075,1.2656254870787809,3.9304610733182255,5.270863836017559,False,
9842,2020-04-28,2020-04-30,2020-05-19,1.1016949152542372,0.4221330132847756,2.871794871794875,9.313725490196067,False,
