code,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,exit_reason,hold_sessions_to_exit,fixed10_return_pct
4390,2020-12-11,2020-12-14,2092.0,2020-12-15,2029.24,-3.0000000000000027,stop_-3%,1,26.577437858508613
4390,2026-07-31,2026-08-03,3440.0,2026-08-25,3830.0,11.33720930232558,strict_gakutto_next_open,15,19.91279069767442
4410,2020-06-29,2020-06-30,1021.0,2020-06-30,990.37,-3.0000000000000027,stop_-3%,0,-6.36630754162586
4410,2021-01-08,2021-01-12,1051.0,2021-01-13,1019.47,-3.0000000000000027,stop_-3%,1,-9.229305423406275
4413,2023-03-03,2023-03-06,1022.5,2023-03-06,991.8249999999999,-3.0000000000000027,stop_-3%,0,3.17848410757946
4432,2021-06-25,2021-06-28,2338.0,2021-06-30,2267.86,-2.9999999999999916,stop_-3%,2,-8.468776732249783
4483,2021-05-06,2021-05-07,5110.0,2021-05-10,4956.7,-3.0000000000000027,stop_-3%,1,-9.784735812133071
4483,2023-02-28,2023-03-01,4300.0,2023-03-02,4165.0,-3.139534883720929,stop_gap,1,6.3953488372092915
4521,2020-05-21,2020-05-22,5780.0,2020-05-29,5800.0,0.34602076124568004,strict_gakutto_next_open,5,0.519031141868509
4527,2024-08-22,2024-08-23,3330.0,2024-09-12,3566.0,7.087087087087096,strict_gakutto_next_open,14,6.7867867867867915
4574,2020-05-12,2020-05-13,1739.0,2020-05-15,1811.0,4.140310523289248,strict_gakutto_next_open,2,1.322599194939622
4587,2021-12-08,2021-12-09,2730.0,2021-12-15,2648.1,-3.0000000000000027,stop_-3%,4,3.1868131868131977
4676,2026-07-01,2026-07-02,4003.0,2026-07-21,4078.0,1.8735948038970829,strict_gakutto_next_open,12,4.97127154634025
4680,2018-03-15,2018-03-16,576.3,2018-03-20,559.011,-3.0000000000000027,stop_-3%,2,-1.665799062988016
4743,2020-11-02,2020-11-04,885.0,2020-11-26,898.0,1.4689265536723228,max15_next_open,15,-0.3389830508474523
4792,2017-12-20,2017-12-21,2793.0,2018-01-05,2709.21,-3.0000000000000027,stop_-3%,8,-6.19405656999642
4812,2019-05-16,2019-05-17,612.5,2019-05-21,590.8,-3.5428571428571476,stop_gap,2,-6.122448979591832
4820,2021-06-28,2021-06-29,861.0,2021-07-02,850.0,-1.2775842044134733,strict_gakutto_next_open,3,-2.5551684088269466
4826,2019-06-10,2019-06-11,275.3,2019-06-12,267.041,-3.0000000000000027,stop_-3%,1,0.5811841627315628
4919,2018-02-14,2018-02-15,3615.0,2018-02-15,3506.5499999999997,-3.0000000000000027,stop_-3%,0,23.37482710926695
4922,2018-12-12,2018-12-13,17210.0,2018-12-18,16693.7,-2.9999999999999916,stop_-3%,3,-0.11621150493899002
4931,2020-08-18,2020-08-19,1855.0,2020-09-08,2401.0,29.433962264150935,strict_gakutto_next_open,14,45.01347708894878
4933,2023-09-28,2023-09-29,2899.0,2023-10-05,2899.0,0.0,strict_gakutto_next_open,4,2.207657813038977
5036,2023-04-24,2023-04-25,1593.0,2023-04-25,1545.21,-3.0000000000000027,stop_-3%,0,-16.698053986189578
5036,2024-01-22,2024-01-23,1564.0,2024-01-23,1517.08,-3.0000000000000027,stop_-3%,0,1.534526854219953
5101,2026-04-06,2026-04-07,6146.0,2026-04-14,6140.0,-0.09762447120078566,strict_gakutto_next_open,5,10.852587048486818
5202,2022-02-03,2022-02-04,475.0,2022-02-04,460.75,-3.0000000000000027,stop_-3%,0,8.000000000000007
5208,2026-03-27,2026-03-30,2263.0,2026-04-20,2514.0,11.091471498011485,max15_next_open,15,9.147149801148924
5331,2020-07-15,2020-07-16,840.0,2020-07-20,814.8,-3.0000000000000027,stop_-3%,2,-6.0952380952380985
5332,2020-04-23,2020-04-24,3570.0,2020-05-15,3895.0,9.103641456582622,strict_gakutto_next_open,11,9.80392156862746
5334,2020-11-20,2020-11-24,1882.0,2020-12-07,1931.0,2.603613177470776,strict_gakutto_next_open,9,0.4782146652497321
5393,2026-03-25,2026-03-26,3043.7,2026-03-30,2794.0,-8.20383086375135,stop_gap,2,0.2069849196701501
5410,2022-02-08,2022-02-09,1395.0,2022-02-14,1353.1499999999999,-3.0000000000000138,stop_-3%,2,-5.663082437275991
5444,2021-11-12,2021-11-15,3615.0,2021-11-30,3605.0,-0.2766251728907321,strict_gakutto_next_open,10,-0.2766251728907321
5563,2026-03-16,2026-03-17,444.0,2026-03-19,430.68,-3.0000000000000027,stop_-3%,2,-3.828828828828834
5757,2018-11-20,2018-11-21,2971.0,2018-11-21,2881.87,-3.0000000000000027,stop_-3%,0,0.10097610232244758
5821,2018-10-22,2018-10-23,1508.4,2018-10-24,1463.1480000000001,-2.9999999999999916,stop_-3%,1,-8.061522142667732
5838,2025-12-19,2025-12-22,7137.0,2025-12-22,6922.889999999999,-3.0000000000000027,stop_-3%,0,-5.352388958946341
5911,2020-04-22,2020-04-23,1852.0,2020-05-07,1888.0,1.943844492440605,strict_gakutto_next_open,6,1.673866090712739
6050,2016-12-27,2016-12-28,1322.0,2017-01-23,1718.0,29.954614220877463,max15_next_open,15,30.86232980332828
6062,2019-11-01,2019-11-05,1159.0,2019-11-05,1124.23,-3.0000000000000027,stop_-3%,0,-15.444348576358935
6099,2019-01-16,2019-01-17,687.5,2019-01-28,689.5,0.2909090909090972,strict_gakutto_next_open,7,-1.9636363636363674
